# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -733.80000000 ps, Average over 3000 waveforms. Timestamp: 2025-11-05T15:49:28
# Window type: Tukey, parameters: alpha = 0.1, thickness 0.5 mm
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
4.66410488	-86.41621882
4.67891156	-87.76570318
4.69371824	-93.64681009
4.70852492	-93.55478378
4.72333160	-89.65406090
4.73813829	-94.37972433
4.75294497	-96.13063933
4.76775165	-91.17842145
4.78255833	-87.73275894
4.79736501	-87.84071422
4.81217170	-87.30842092
4.82697838	-88.48901431
4.84178506	-91.96037218
4.85659174	-91.23541385
4.87139843	-85.93894843
4.88620511	-84.33466605
4.90101179	-86.38875761
4.91581847	-87.76887545
4.93062515	-88.20624302
4.94543184	-87.49811952
4.96023852	-86.99977092
4.97504520	-88.50071763
4.98985188	-93.65991968
5.00465856	-100.94342798
5.01946525	-93.40969022
5.03427193	-91.57734337
5.04907861	-97.11314195
5.06388529	-96.44615153
5.07869198	-92.30201116
5.09349866	-96.36657471
5.10830534	-96.10085344
5.12311202	-93.90086041
5.13791870	-105.33589301
5.15272539	-91.60685895
5.16753207	-94.39435453
5.18233875	-91.59934487
5.19714543	-92.12238727
5.21195211	-94.58767777
5.22675880	-88.81165831
5.24156548	-94.31099148
5.25637216	-91.00447667
5.27117884	-99.16536468
5.28598553	-90.66872291
5.30079221	-92.66454366
5.31559889	-97.13310315
5.33040557	-103.60810918
5.34521225	-94.96247215
5.36001894	-89.13989251
5.37482562	-86.81791330
5.38963230	-87.59286965
5.40443898	-86.64141850
5.41924567	-86.62868412
5.43405235	-95.04662159
5.44885903	-95.61765744
5.46366571	-91.06167323
5.47847239	-88.94306103
5.49327908	-89.31801487
5.50808576	-93.64594900
5.52289244	-103.41166087
5.53769912	-95.42846272
5.55250580	-87.55618659
5.56731249	-87.21705674
5.58211917	-92.88068453
5.59692585	-97.03094440
5.61173253	-94.23978327
5.62653922	-93.20401650
5.64134590	-93.26079607
5.65615258	-93.37020136
5.67095926	-113.37345512
5.68576594	-97.14970364
5.70057263	-93.48899877
5.71537931	-93.05463303
5.73018599	-100.99825836
5.74499267	-90.98423761
5.75979935	-107.37315263
5.77460604	-91.74529427
5.78941272	-96.03936250
5.80421940	-96.10173605
5.81902608	-92.29238778
5.83383277	-89.77448848
5.84863945	-87.87392592
5.86344613	-90.56412047
5.87825281	-95.68590278
5.89305949	-113.25331316
5.90786618	-99.01337396
5.92267286	-97.23059111
5.93747954	-94.83019019
5.95228622	-92.46924268
5.96709290	-104.19229670
5.98189959	-94.68756397
5.99670627	-92.66935597
6.01151295	-90.80105811
6.02631963	-90.79835176
6.04112632	-96.90446204
6.05593300	-94.40361653
6.07073968	-92.40448912
6.08554636	-98.28051557
6.10035304	-89.25378550
6.11515973	-88.60960059
6.12996641	-93.63115940
6.14477309	-93.40433976
6.15957977	-105.43482856
6.17438645	-92.25204285
6.18919314	-97.94281758
6.20399982	-92.47564017
6.21880650	-100.59958341
6.23361318	-92.57784793
6.24841987	-103.34134383
6.26322655	-92.40777973
6.27803323	-91.15913205
6.29283991	-91.73572728
6.30764659	-107.45470188
6.32245328	-91.51359677
6.33725996	-91.92706730
6.35206664	-96.60723770
6.36687332	-102.54821720
6.38168000	-92.41715375
6.39648669	-103.79415217
6.41129337	-93.97133315
6.42610005	-97.66846289
6.44090673	-96.72222198
6.45571342	-109.58959536
6.47052010	-89.32469332
6.48532678	-87.78331118
6.50013346	-94.50253286
6.51494014	-103.18180824
6.52974683	-102.04625200
6.54455351	-105.40621867
6.55936019	-100.05231183
6.57416687	-107.15824116
6.58897355	-96.63440596
6.60378024	-103.25531126
6.61858692	-100.28853100
6.63339360	-108.34683361
6.64820028	-97.38390753
6.66300697	-97.09103687
6.67781365	-107.87953082
6.69262033	-101.92956442
6.70742701	-97.40055450
6.72223369	-104.42647786
6.73704038	-92.83375961
6.75184706	-91.72358299
6.76665374	-96.72398276
6.78146042	-98.07475693
6.79626710	-89.64826768
6.81107379	-89.85742875
6.82588047	-98.74813899
6.84068715	-101.74480202
6.85549383	-95.40721738
6.87030052	-92.40160689
6.88510720	-116.17971797
6.89991388	-95.51380502
6.91472056	-107.13362727
6.92952724	-93.54705950
6.94433393	-94.62546434
6.95914061	-95.12760411
6.97394729	-92.10641905
6.98875397	-88.37723317
7.00356065	-86.45636839
7.01836734	-94.12971704
7.03317402	-95.38233991
7.04798070	-96.33715708
7.06278738	-99.20258120
7.07759407	-106.03068521
7.09240075	-99.12701775
7.10720743	-94.60663581
7.12201411	-89.82561361
7.13682079	-88.55475358
7.15162748	-94.30373316
7.16643416	-90.15406532
7.18124084	-94.36574833
7.19604752	-94.90978323
7.21085420	-92.53554503
7.22566089	-89.31365068
7.24046757	-97.30518310
7.25527425	-91.84464922
7.27008093	-92.24204361
7.28488762	-98.40564127
7.29969430	-96.15293448
7.31450098	-93.89985078
7.32930766	-118.78937653
7.34411434	-94.53328890
7.35892103	-105.91607392
7.37372771	-94.30959705
7.38853439	-103.49608235
7.40334107	-94.62351913
7.41814775	-101.89823747
7.43295444	-90.97370036
7.44776112	-91.17738206
7.46256780	-98.20517329
7.47737448	-94.06810220
7.49218117	-89.75606621
7.50698785	-92.71266597
7.52179453	-92.75126523
7.53660121	-91.66544868
7.55140789	-99.60296549
7.56621458	-95.95574739
7.58102126	-90.19471158
7.59582794	-90.97968646
7.61063462	-98.77911617
7.62544130	-98.03264833
7.64024799	-93.50909712
7.65505467	-97.88147901
7.66986135	-96.87041711
7.68466803	-91.66841742
7.69947472	-95.91358898
7.71428140	-90.79280141
7.72908808	-88.30855560
7.74389476	-100.34524364
7.75870144	-91.27602616
7.77350813	-91.66859856
7.78831481	-102.24757253
7.80312149	-92.65900032
7.81792817	-109.06609026
7.83273485	-90.93175390
7.84754154	-93.99478399
7.86234822	-92.30584767
7.87715490	-91.76672891
7.89196158	-112.58854090
7.90676827	-95.01046593
7.92157495	-93.72754368
7.93638163	-95.37890597
7.95118831	-95.25592347
7.96599499	-95.17895641
7.98080168	-104.48026398
7.99560836	-96.17283180
8.01041504	-106.42666680
8.02522172	-92.36598249
8.04002840	-96.95035404
8.05483509	-92.83673626
8.06964177	-89.38366912
8.08444845	-96.63050229
8.09925513	-103.00181456
8.11406182	-97.97529373
8.12886850	-102.35240413
8.14367518	-99.29488566
8.15848186	-98.68562021
8.17328854	-102.99265682
8.18809523	-93.29898906
8.20290191	-95.15158989
8.21770859	-118.45179835
8.23251527	-108.01686761
8.24732195	-91.62278822
8.26212864	-92.45905142
8.27693532	-106.68603237
8.29174200	-97.09989915
8.30654868	-97.47122077
8.32135537	-93.19717341
8.33616205	-93.14550212
8.35096873	-98.06469330
8.36577541	-96.11285538
8.38058209	-92.40432022
8.39538878	-92.38204963
8.41019546	-94.25105000
8.42500214	-112.90365995
8.43980882	-92.98762617
8.45461550	-94.22042045
8.46942219	-92.73004791
8.48422887	-97.24889154
8.49903555	-96.18951927
8.51384223	-95.05127992
8.52864892	-95.12962288
8.54345560	-99.52959551
8.55826228	-96.04683909
8.57306896	-97.97261734
8.58787564	-94.02434775
8.60268233	-92.33725355
8.61748901	-97.56801790
8.63229569	-90.32936665
8.64710237	-92.69176905
8.66190905	-99.67675010
8.67671574	-101.89307365
