# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -733.80000000 ps, Average over 3000 waveforms. Timestamp: 2025-11-05T16:03:36
# Window type: Tukey, parameters: alpha = 0.1, thickness 0.2 mm
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
5.43405235	-92.42834777
5.44885903	-106.32857786
5.46366571	-95.52140429
5.47847239	-99.51022756
5.49327908	-92.07681218
5.50808576	-112.08616580
5.52289244	-94.93002181
5.53769912	-95.69038890
5.55250580	-93.24623207
5.56731249	-96.00568767
5.58211917	-95.69668556
5.59692585	-115.47077824
5.61173253	-97.79448966
5.62653922	-102.16651516
5.64134590	-89.20888953
5.65615258	-88.83522611
5.67095926	-90.10807838
5.68576594	-93.97138303
5.70057263	-92.76002463
5.71537931	-87.29123333
5.73018599	-96.50487373
5.74499267	-98.96322502
5.75979935	-95.91803822
5.77460604	-94.12405044
5.78941272	-99.37662151
5.80421940	-89.33443259
5.81902608	-94.84090961
5.83383277	-91.15919211
5.84863945	-95.42467122
5.86344613	-94.55480350
5.87825281	-100.40706129
5.89305949	-91.63898087
5.90786618	-91.08114749
5.92267286	-97.36136349
5.93747954	-94.31676643
5.95228622	-98.57670866
5.96709290	-89.74091697
5.98189959	-101.17324019
5.99670627	-92.35141378
6.01151295	-93.71722201
6.02631963	-98.68071033
6.04112632	-104.96651856
6.05593300	-90.90491221
6.07073968	-87.53261986
6.08554636	-90.08217890
6.10035304	-99.65763710
6.11515973	-92.16623391
6.12996641	-95.23512651
6.14477309	-99.20382930
6.15957977	-92.87180944
6.17438645	-101.13544772
6.18919314	-95.23172973
6.20399982	-95.61323148
6.21880650	-103.16681334
6.23361318	-98.74564438
6.24841987	-102.29162105
6.26322655	-106.34530816
6.27803323	-110.63207570
6.29283991	-95.72680533
6.30764659	-95.34052073
6.32245328	-98.82683255
6.33725996	-89.29675196
6.35206664	-94.13179504
6.36687332	-96.99489764
6.38168000	-93.57651183
6.39648669	-106.31449335
6.41129337	-95.96440137
6.42610005	-100.42117453
6.44090673	-95.68267880
6.45571342	-91.16365004
6.47052010	-93.40938845
6.48532678	-100.65214975
6.50013346	-100.06529216
6.51494014	-109.08504836
6.52974683	-95.86313750
6.54455351	-94.56140263
6.55936019	-94.60285296
6.57416687	-103.78774932
6.58897355	-89.38060148
6.60378024	-90.78441466
6.61858692	-106.36982998
6.63339360	-100.25676418
6.64820028	-93.28856253
6.66300697	-93.14963929
6.67781365	-95.43778422
6.69262033	-89.35581115
6.70742701	-91.02856850
6.72223369	-96.85747684
6.73704038	-97.80657582
6.75184706	-92.21906560
6.76665374	-89.56844895
6.78146042	-92.16718707
6.79626710	-92.58838956
6.81107379	-90.48230858
6.82588047	-94.91818325
6.84068715	-86.00660144
6.85549383	-91.72235181
6.87030052	-92.77150426
6.88510720	-89.69317286
6.89991388	-101.69815324
6.91472056	-90.35075586
6.92952724	-91.46727954
6.94433393	-97.55511659
6.95914061	-91.21749185
6.97394729	-105.71361023
6.98875397	-92.24423553
7.00356065	-93.55038809
7.01836734	-104.19960101
7.03317402	-89.95743059
7.04798070	-88.10544226
7.06278738	-93.08523433
7.07759407	-96.40543831
7.09240075	-95.80024614
7.10720743	-95.88820971
7.12201411	-92.68537238
7.13682079	-97.86518996
7.15162748	-101.38281180
7.16643416	-106.90719878
7.18124084	-91.54065692
7.19604752	-88.21989071
7.21085420	-92.39139620
7.22566089	-98.84979743
7.24046757	-97.87497380
7.25527425	-105.49165931
7.27008093	-97.64941889
7.28488762	-90.71199894
7.29969430	-90.38949281
7.31450098	-96.26359976
7.32930766	-108.71903841
7.34411434	-128.23885498
7.35892103	-102.64691398
7.37372771	-98.19537850
7.38853439	-93.58296879
7.40334107	-105.35231771
7.41814775	-91.31000082
7.43295444	-102.93850343
7.44776112	-89.58754148
7.46256780	-90.91522214
7.47737448	-103.54016278
7.49218117	-93.86155527
7.50698785	-88.30810716
7.52179453	-88.31324908
7.53660121	-95.12241294
7.55140789	-95.09914783
7.56621458	-109.83179806
7.58102126	-91.39985863
7.59582794	-92.28292830
7.61063462	-95.02701344
7.62544130	-91.49039202
7.64024799	-100.63824545
7.65505467	-93.50017638
7.66986135	-95.00992627
7.68466803	-95.52266932
7.69947472	-88.99685697
7.71428140	-98.43283021
7.72908808	-92.30583663
7.74389476	-93.52783256
7.75870144	-88.37144015
7.77350813	-95.96719904
7.78831481	-86.77055561
7.80312149	-88.32694810
7.81792817	-97.77827599
7.83273485	-99.26805593
7.84754154	-99.05804812
7.86234822	-97.98645263
7.87715490	-105.34533163
7.89196158	-98.65875693
7.90676827	-90.07266981
7.92157495	-87.81117275
7.93638163	-95.91291359
7.95118831	-93.33542058
7.96599499	-92.43799056
7.98080168	-90.86691619
7.99560836	-91.11180661
8.01041504	-95.35331453
8.02522172	-95.32113766
8.04002840	-89.57876156
8.05483509	-93.88514662
8.06964177	-94.73034527
8.08444845	-88.49553444
8.09925513	-94.24313506
8.11406182	-92.57242351
8.12886850	-87.01595534
8.14367518	-92.59647480
8.15848186	-99.46285650
8.17328854	-99.49823882
8.18809523	-92.04946166
8.20290191	-98.64480074
8.21770859	-96.67248544
8.23251527	-104.44548699
8.24732195	-104.20206397
8.26212864	-99.56632949
8.27693532	-97.21193278
8.29174200	-98.26465960
8.30654868	-91.34905366
8.32135537	-87.98765492
8.33616205	-94.16123299
8.35096873	-102.72080861
8.36577541	-93.82002466
8.38058209	-90.64158580
8.39538878	-95.31021612
8.41019546	-92.24702057
8.42500214	-86.41973145
8.43980882	-90.73802605
8.45461550	-88.53156191
8.46942219	-86.12402595
8.48422887	-95.59475253
8.49903555	-95.09833134
8.51384223	-96.34470555
8.52864892	-97.64148942
8.54345560	-96.94627110
8.55826228	-98.83495012
8.57306896	-87.87907775
8.58787564	-87.68401966
8.60268233	-91.62638273
8.61748901	-93.35638385
8.63229569	-98.07385231
8.64710237	-90.78298098
8.66190905	-96.35381319
8.67671574	-91.23950166
8.69152242	-90.69588610
8.70632910	-87.92871289
8.72113578	-87.12700674
8.73594247	-92.11907109
8.75074915	-93.27722978
8.76555583	-90.50107089
8.78036251	-91.76391643
8.79516919	-97.95219235
8.80997588	-91.77095859
8.82478256	-95.70531509
8.83958924	-90.83170981
8.85439592	-93.79356582
8.86920260	-95.66965839
8.88400929	-96.20934117
8.89881597	-93.28777919
8.91362265	-96.17832791
8.92842933	-108.18357272
8.94323602	-98.76211703
8.95804270	-95.10131184
8.97284938	-97.48629852
8.98765606	-93.17100720
9.00246274	-89.77746316
9.01726943	-84.49828375
9.03207611	-85.60026132
9.04688279	-89.15996933
9.06168947	-91.98894053
9.07649615	-94.04070348
9.09130284	-98.00396438
9.10610952	-92.52268373
9.12091620	-86.85806251
9.13572288	-92.72981190
9.15052957	-96.27343974
9.16533625	-94.50905769
9.18014293	-95.02816048
9.19494961	-99.00130844
9.20975629	-100.92019591
9.22456298	-105.57925321
9.23936966	-91.72641208
9.25417634	-98.01268984
9.26898302	-92.66316719
9.28378970	-88.64075606
9.29859639	-90.03684267
9.31340307	-97.55168657
9.32820975	-88.63497569
9.34301643	-83.65330150
9.35782312	-86.91288430
9.37262980	-108.20218385
9.38743648	-91.76449228
9.40224316	-92.81870032
9.41704984	-93.27515316
9.43185653	-89.98577238
9.44666321	-99.36170269
9.46146989	-88.61748836
9.47627657	-86.97598337
9.49108325	-92.34158100
9.50588994	-117.25579600
9.52069662	-92.04038642
9.53550330	-90.05803126
9.55030998	-98.70753754
9.56511667	-93.29059248
9.57992335	-98.32213225
9.59473003	-96.28225197
9.60953671	-108.13675626
9.62434339	-92.40389416
9.63915008	-89.99641813
9.65395676	-89.45619405
9.66876344	-89.80403691
9.68357012	-91.73114977
9.69837680	-91.35659769
9.71318349	-97.54472825
9.72799017	-98.13169949
9.74279685	-96.76562468
9.75760353	-99.14004562
9.77241022	-93.49163105
9.78721690	-90.06317996
9.80202358	-82.39067522
9.81683026	-83.49557361
9.83163694	-94.03783119
9.84644363	-107.36350970
9.86125031	-96.46029372
9.87605699	-90.47151094
9.89086367	-89.10255888
9.90567035	-87.97955998
9.92047704	-90.21688179
9.93528372	-106.93870243
9.95009040	-100.74611713
9.96489708	-99.97042836
