# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -733.80000000 ps, Average over 3000 waveforms. Timestamp: 2025-11-05T15:52:25
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
5.24156548	-99.58511742
5.25637216	-94.40300486
5.27117884	-97.76580408
5.28598553	-99.18712736
5.30079221	-103.22058741
5.31559889	-89.36522686
5.33040557	-93.89466901
5.34521225	-93.44310400
5.36001894	-92.68824221
5.37482562	-96.14200584
5.38963230	-93.16891538
5.40443898	-96.14298867
5.41924567	-90.97125128
5.43405235	-97.50948646
5.44885903	-99.21344593
5.46366571	-94.44157615
5.47847239	-92.23071768
5.49327908	-101.16520614
5.50808576	-98.55694235
5.52289244	-99.20081405
5.53769912	-95.40542138
5.55250580	-95.99637696
5.56731249	-94.12083323
5.58211917	-94.03696612
5.59692585	-97.76935227
5.61173253	-96.96363182
5.62653922	-89.96285899
5.64134590	-100.49100344
5.65615258	-94.27685555
5.67095926	-98.22569734
5.68576594	-96.41653079
5.70057263	-109.41239715
5.71537931	-93.20561216
5.73018599	-111.73621983
5.74499267	-88.05974600
5.75979935	-89.74755565
5.77460604	-91.05898845
5.78941272	-89.24403675
5.80421940	-97.44272002
5.81902608	-90.71804041
5.83383277	-96.92841290
5.84863945	-99.20870971
5.86344613	-95.48038333
5.87825281	-94.15152721
5.89305949	-91.57234529
5.90786618	-87.95687469
5.92267286	-97.87316972
5.93747954	-98.04302288
5.95228622	-98.38739497
5.96709290	-94.33632713
5.98189959	-93.31497994
5.99670627	-87.12116656
6.01151295	-97.72551175
6.02631963	-91.19469811
6.04112632	-91.76931118
6.05593300	-92.82391704
6.07073968	-94.29808114
6.08554636	-109.88592900
6.10035304	-93.38945624
6.11515973	-97.44797870
6.12996641	-92.41763913
6.14477309	-88.49178836
6.15957977	-115.50843513
6.17438645	-87.42526175
6.18919314	-90.15250794
6.20399982	-101.91879559
6.21880650	-100.18739051
6.23361318	-100.47816802
6.24841987	-96.75946138
6.26322655	-93.58672977
6.27803323	-97.23518740
6.29283991	-96.79453545
6.30764659	-95.73656617
6.32245328	-88.97292179
6.33725996	-92.60322607
6.35206664	-102.72675867
6.36687332	-100.23525336
6.38168000	-100.29233627
6.39648669	-97.80812974
6.41129337	-90.00230455
6.42610005	-98.67272414
6.44090673	-93.49871292
6.45571342	-96.73431934
6.47052010	-95.96071740
6.48532678	-108.65092712
6.50013346	-90.64660689
6.51494014	-92.06801351
6.52974683	-94.72123714
6.54455351	-96.45667732
6.55936019	-91.94592987
6.57416687	-103.81707202
6.58897355	-89.29975055
6.60378024	-93.69155281
6.61858692	-92.75959340
6.63339360	-88.46884337
6.64820028	-100.36167382
6.66300697	-89.41804461
6.67781365	-87.42789840
6.69262033	-93.08273083
6.70742701	-94.63506495
6.72223369	-95.65812689
6.73704038	-98.06155063
6.75184706	-89.97567648
6.76665374	-88.51282200
6.78146042	-92.62660992
6.79626710	-105.38809827
6.81107379	-91.50243381
6.82588047	-88.77825242
6.84068715	-94.16840683
6.85549383	-98.33344104
6.87030052	-95.93582179
6.88510720	-88.97631852
6.89991388	-94.08240041
6.91472056	-85.59598605
6.92952724	-89.51056862
6.94433393	-89.79156673
6.95914061	-94.65726242
6.97394729	-89.69357699
6.98875397	-89.70985997
7.00356065	-93.79425557
7.01836734	-89.69160097
7.03317402	-96.20304653
7.04798070	-90.57398286
7.06278738	-93.18460430
7.07759407	-103.81519508
7.09240075	-93.76064124
7.10720743	-97.92308654
7.12201411	-90.85775182
7.13682079	-88.07420659
7.15162748	-105.84725263
7.16643416	-87.87254688
7.18124084	-93.42154569
7.19604752	-93.78439173
7.21085420	-95.92725635
7.22566089	-94.33823369
7.24046757	-98.11884937
7.25527425	-91.08600416
7.27008093	-92.48248138
7.28488762	-94.16417641
7.29969430	-89.84884419
7.31450098	-93.49809350
7.32930766	-90.50324042
7.34411434	-93.36978493
7.35892103	-97.59629146
7.37372771	-95.39948609
7.38853439	-92.42748141
7.40334107	-91.22694977
7.41814775	-97.08366209
7.43295444	-95.83160571
7.44776112	-89.95809837
7.46256780	-95.49594400
7.47737448	-89.19226692
7.49218117	-89.58247703
7.50698785	-117.31860956
7.52179453	-94.45367876
7.53660121	-97.94598435
7.55140789	-94.06644143
7.56621458	-91.48052872
7.58102126	-92.28713944
7.59582794	-92.20795848
7.61063462	-94.46846799
7.62544130	-100.10414689
7.64024799	-100.28974097
7.65505467	-97.25211854
7.66986135	-93.58766988
7.68466803	-93.71379428
7.69947472	-111.75818495
7.71428140	-93.69547014
7.72908808	-91.07935838
7.74389476	-90.60318949
7.75870144	-92.77404231
7.77350813	-101.25978000
7.78831481	-90.24586530
7.80312149	-94.60260631
7.81792817	-100.62182834
7.83273485	-92.08024809
7.84754154	-91.74025638
7.86234822	-102.88047593
7.87715490	-91.04937986
7.89196158	-89.04633578
7.90676827	-97.91702204
7.92157495	-93.19632023
7.93638163	-97.01843764
7.95118831	-101.83586443
7.96599499	-95.42934775
7.98080168	-93.40956091
7.99560836	-99.93951700
8.01041504	-92.26997904
8.02522172	-87.04195329
8.04002840	-90.67745338
8.05483509	-103.41773000
8.06964177	-96.92225187
8.08444845	-99.03114070
8.09925513	-94.55770713
8.11406182	-92.59391381
8.12886850	-93.61957481
8.14367518	-91.53923915
8.15848186	-92.30344608
8.17328854	-98.77319742
8.18809523	-98.54705210
8.20290191	-96.76661817
8.21770859	-94.15431574
8.23251527	-92.69262797
8.24732195	-99.30410039
8.26212864	-99.41811111
8.27693532	-95.27009366
8.29174200	-96.37278387
8.30654868	-96.78260966
8.32135537	-93.77192534
8.33616205	-94.83475027
8.35096873	-99.75951542
8.36577541	-97.13221250
8.38058209	-88.01907365
8.39538878	-84.14827023
8.41019546	-87.50406327
8.42500214	-93.96786361
8.43980882	-86.23030009
8.45461550	-92.41118307
8.46942219	-94.23857778
8.48422887	-92.83911494
8.49903555	-97.31883874
8.51384223	-93.33860732
8.52864892	-91.55730833
8.54345560	-92.43208283
8.55826228	-94.17054551
8.57306896	-113.42934637
8.58787564	-95.45566989
8.60268233	-103.77819384
8.61748901	-96.52203474
8.63229569	-97.59411263
8.64710237	-92.04837252
8.66190905	-95.80147905
8.67671574	-92.46420536
8.69152242	-87.25954764
8.70632910	-95.05349717
8.72113578	-92.32733368
8.73594247	-91.53621772
8.75074915	-90.46711717
8.76555583	-87.11645990
8.78036251	-92.48559136
8.79516919	-90.30786572
8.80997588	-86.02844857
8.82478256	-89.29389335
8.83958924	-96.82554841
8.85439592	-90.41741543
8.86920260	-91.05135474
8.88400929	-102.49381532
8.89881597	-96.91523310
8.91362265	-100.12527863
8.92842933	-94.09736305
8.94323602	-97.24015845
8.95804270	-96.54317504
8.97284938	-89.12406197
8.98765606	-88.49300593
9.00246274	-95.87075599
9.01726943	-91.50034988
9.03207611	-95.74930225
9.04688279	-96.65320381
9.06168947	-102.64342952
9.07649615	-103.69371274
9.09130284	-94.38506961
9.10610952	-97.10543964
9.12091620	-94.77803799
9.13572288	-89.90511647
9.15052957	-93.65205781
9.16533625	-90.41032966
9.18014293	-93.71184771
9.19494961	-91.39101277
9.20975629	-90.44351804
9.22456298	-91.12910139
9.23936966	-89.95249641
9.25417634	-88.50659566
9.26898302	-87.64953709
9.28378970	-92.49766722
9.29859639	-95.08309874
9.31340307	-90.26071088
9.32820975	-98.69824769
9.34301643	-95.49094670
9.35782312	-93.70114967
9.37262980	-92.73080229
9.38743648	-97.94314951
9.40224316	-85.47393570
9.41704984	-85.76353991
9.43185653	-93.98842264
9.44666321	-94.10474753
9.46146989	-95.71814530
9.47627657	-93.68224637
9.49108325	-94.93755853
9.50588994	-102.87521343
9.52069662	-93.38358372
9.53550330	-91.97178862
9.55030998	-89.62862043
9.56511667	-90.24065394
9.57992335	-93.89022502
9.59473003	-102.71981539
9.60953671	-95.94249078
9.62434339	-96.15580839
9.63915008	-99.02626784
9.65395676	-98.31756590
9.66876344	-97.54971073
9.68357012	-93.77398348
9.69837680	-91.27954985
9.71318349	-96.18655466
9.72799017	-103.34732633
9.74279685	-94.19649427
9.75760353	-88.66274536
9.77241022	-88.93415160
9.78721690	-98.28719353
9.80202358	-91.14528656
9.81683026	-93.14290867
9.83163694	-91.13565317
9.84644363	-91.89874842
9.86125031	-97.49158244
9.87605699	-88.10175138
9.89086367	-92.86049214
9.90567035	-94.50345902
9.92047704	-89.10753940
9.93528372	-93.46346853
9.95009040	-108.36622469
9.96489708	-104.43364800
9.97970377	-91.94301886
9.99451045	-94.12078053
10.00931713	-93.50370708
10.02412381	-87.77679579
10.03893049	-90.31789357
10.05373718	-88.09857108
10.06854386	-91.37656731
10.08335054	-90.29700447
10.09815722	-88.19521091
10.11296390	-96.34896460
10.12777059	-101.07049580
10.14257727	-112.02120375
10.15738395	-93.90714457
10.17219063	-91.33320721
10.18699732	-92.67266192
10.20180400	-107.30816960
10.21661068	-90.62295600
10.23141736	-93.24568972
10.24622404	-89.03224295
10.26103073	-88.61141839
10.27583741	-90.16244311
10.29064409	-88.79543170
10.30545077	-99.56856271
10.32025745	-92.93537487
10.33506414	-97.15339919
10.34987082	-96.68495381
10.36467750	-101.59384581
10.37948418	-92.33024572
10.39429087	-93.07172485
10.40909755	-88.67605751
10.42390423	-91.67721873
10.43871091	-91.21965069
10.45351759	-87.92809272
10.46832428	-91.84070457
10.48313096	-97.58181947
10.49793764	-89.10085067
10.51274432	-89.95269857
10.52755101	-97.19200032
10.54235769	-88.70169273
10.55716437	-86.27901051
10.57197105	-94.18173333
10.58677773	-97.08191631
10.60158442	-99.69528075
10.61639110	-93.23065966
10.63119778	-91.05962076
10.64600446	-91.50229291
10.66081114	-88.20477234
