# Frequency(Hz) Real(n) Imag(n)
2.731945301282492676e+11 2.098006421821211553e+00 8.328925299838535121e-03
2.747736892619385986e+11 2.096061786999907639e+00 2.881283713380588217e-03
2.763528483956278687e+11 2.093375508674033547e+00 -1.500265577334679388e-03
2.779320075293171997e+11 2.090141489256264862e+00 -4.966213242110349702e-03
2.795111666630064697e+11 2.086517216800020780e+00 -7.568509204725457247e-03
2.810903257966958008e+11 2.082660850967349209e+00 -9.327951602541665124e-03
2.826694849303850708e+11 2.078737460219809208e+00 -1.027361729772122319e-02
2.842486440640744019e+11 2.074907278293864898e+00 -1.046446808764605295e-02
2.858278031977636719e+11 2.071306572495428266e+00 -9.993164648661694363e-03
2.874069623314530029e+11 2.068032150604830033e+00 -8.974673308961376300e-03
2.889861214651423340e+11 2.065136660910960931e+00 -7.527334484068412199e-03
2.905652805988316040e+11 2.062635006048290531e+00 -5.755226024284808110e-03
2.921444397325209351e+11 2.060517238038581667e+00 -3.737073035182117680e-03
2.937235988662102051e+11 2.058762643190773733e+00 -1.522106658125317548e-03
2.953027579998995361e+11 2.057351981723180234e+00 8.697342989948796815e-04
2.968819171335888062e+11 2.056277621680124401e+00 3.446632727941659029e-03
2.984610762672781372e+11 2.055553559182935697e+00 6.245991463482882498e-03
3.000402354009674072e+11 2.055229833619299562e+00 9.341746202236177188e-03
3.016193945346567383e+11 2.055421996976757537e+00 1.286619667945632442e-02
3.031985536683460083e+11 2.056389888100475183e+00 1.707315796405403999e-02
3.047777128020353394e+11 2.058834644196273267e+00 2.257173530674478831e-02
3.063568719357246094e+11 2.066934465322396441e+00 3.235860951013361936e-02
3.079360310694139404e+11 2.081840598691068411e+00 2.100808100610431287e-02
3.095151902031032104e+11 2.083120441868127060e+00 1.298767832717146777e-02
3.110943493367925415e+11 2.082579384201875161e+00 7.131541151914612756e-03
3.126735084704818115e+11 2.081071437512578282e+00 2.469027897656126454e-03
3.142526676041711426e+11 2.078899205035767750e+00 -1.315654009056147844e-03
3.158318267378604126e+11 2.076228939276918872e+00 -4.338522034413578796e-03
3.174109858715497437e+11 2.073192207066527626e+00 -6.633870680011750079e-03
3.189901450052390747e+11 2.069921805853961683e+00 -8.207615671899658877e-03
3.205693041389283447e+11 2.066560448188851762e+00 -9.071052943648927683e-03
3.221484632726176758e+11 2.063252452158848449e+00 -9.261928241007017296e-03
3.237276224063069458e+11 2.060126549546978048e+00 -8.851030547586647215e-03
3.253067815399962769e+11 2.057279617776100356e+00 -7.934428944662065900e-03
3.268859406736855469e+11 2.054769182630667768e+00 -6.616839133678545891e-03
3.284650998073748779e+11 2.052616705281831599e+00 -4.994249306606490281e-03
3.300442589410641479e+11 2.050818281350469174e+00 -3.141717013498802370e-03
3.316234180747534790e+11 2.049357731732908139e+00 -1.107761038076178137e-03
3.332025772084427490e+11 2.048218699956987354e+00 1.086608074081184738e-03
3.347817363421320801e+11 2.047395067538475555e+00 3.447410593814644302e-03
3.363608954758213501e+11 2.046901469940721974e+00 6.009090511810646733e-03
3.379400546095106812e+11 2.046788603369486204e+00 8.841913610879563803e-03
3.395192137431999512e+11 2.047175212445666137e+00 1.207411525753813650e-02
3.410983728768892822e+11 2.048337616075427636e+00 1.595777570726731806e-02
3.426775320105785522e+11 2.051083030401013030e+00 2.112706689122971840e-02
3.442566911442678833e+11 2.063607367794175751e+00 2.894902750988096948e-02
3.458358502779571533e+11 2.071154161460514231e+00 1.713134670994358177e-02
3.474150094116464844e+11 2.072062917559276407e+00 1.045013310178431049e-02
3.489941685453358154e+11 2.071506163168745029e+00 5.406724197789012504e-03
3.505733276790250854e+11 2.070117287834822850e+00 1.341323034360069428e-03
3.521524868127144165e+11 2.068139012682783662e+00 -1.970979855561164323e-03
3.537316459464036865e+11 2.065713729916865748e+00 -4.607615721089163875e-03
3.553108050800930176e+11 2.062961745905237620e+00 -6.584772065465319818e-03
3.568899642137822876e+11 1.978929636109160395e+00 7.084582825548232932e-02
3.584691233474716187e+11 1.970508251177185866e+00 7.205302344374867052e-02
3.600482824811608887e+11 2.054046108045919805e+00 -8.619551806805935898e-03
3.616274416148502197e+11 2.051289292952119148e+00 -8.132331424416444285e-03
3.632066007485394897e+11 2.048806503547571101e+00 -7.198242361426219343e-03
3.647857598822288208e+11 2.046644735187065134e+00 -5.916255686362764839e-03
3.663649190159180908e+11 2.044818009654714164e+00 -4.374441078928498899e-03
3.679440781496074219e+11 2.043318567475687519e+00 -2.639602248408935790e-03
3.695232372832966919e+11 2.042129394231014139e+00 -7.532158414528775407e-04
3.711023964169860229e+11 2.041235310255921753e+00 1.268686878896084155e-03
